u71,(p229,0.004421518054532056)
u71,(p230,0.004316191885559256)
u71,(p232,0.0037898726181703345)
u71,(p232,0.0036995930447650776)
u71,(p197,0.0021036252475098763)
u71,(p195,0.0017896913776646514)
u71,(p196,0.0017896913776646514)
u71,(p192,0.0015071085285597063)
u71,(p193,0.0013631406761177751)
u71,(p192,0.0012913964300063135)
u71,(p195,1.3147657796936722E-4)
u71,(p196,1.3147657796936722E-4)
u71,(p192,1.1071711828999343E-4)
u58,(p193,0.001780428638194645)
u58,(p192,0.0016867218677633483)
u72,(p197,0.0035060420791831275)
u72,(p195,2.1912762994894536E-4)
u72,(p196,2.1912762994894536E-4)
u72,(p192,1.8452853048332238E-4)
u73,(p118,0.029870560902754736)
u73,(p229,0.01105379513633014)
u73,(p232,0.009474681545425837)
u74,(p197,0.010518126237549384)
u74,(p195,6.573828898468362E-4)
u74,(p196,6.573828898468362E-4)
u74,(p192,5.535855914499672E-4)
u41,(p124,0.006868603612885501)
u41,(p197,0.004841677156967175)
u41,(p193,9.482717746906262E-4)
u41,(p192,8.983627339174355E-4)
u41,(p195,3.0260482231044835E-4)
u41,(p196,3.0260482231044835E-4)
u41,(p192,2.5482511352458803E-4)
u45,(p193,0.0017039258451472187)
u45,(p192,0.0016142455375078918)
u46,(p193,0.00356085727638929)
u46,(p192,0.0033734437355266967)
u47,(p193,0.0025558887677208284)
u47,(p192,0.0024213683062618376)
u61,(p193,0.0025558887677208284)
u61,(p192,0.0024213683062618376)
u62,(p193,8.902143190973225E-4)
u62,(p192,8.433609338816742E-4)
u49,(p193,0.001780428638194645)
u49,(p192,0.0016867218677633483)
u64,(p195,0.9375)
u64,(p196,0.9375)
u64,(p155,0.4285714285714286)
u64,(p177,0.4285714285714286)
u64,(p214,0.4285714285714286)
u64,(p183,0.4285714285714286)
u64,(p197,0.3340757238307351)
u64,(p150,0.25423728813559326)
u64,(p139,0.25423728813559326)
u64,(p178,0.25423728813559326)
u64,(p179,0.25423728813559326)
u64,(p209,0.2542372881355932)
u64,(p138,0.2542372881355932)
u64,(p151,0.2542372881355932)
u64,(p210,0.2542372881355932)
u64,(p218,0.2542372881355932)
u64,(p192,0.19736842105263155)
u64,(p197,0.16703786191536754)
u64,(p65,0.14285714285714285)
u64,(p102,0.14285714285714285)
u64,(p37,0.14285714285714285)
u64,(p197,0.11135857461024505)
u64,(p197,0.06681514476614703)
u64,(p197,0.041759465478841885)
u64,(p179,0.03389830508474576)
u64,(p209,0.033898305084745756)
u64,(p150,0.033898305084745756)
u64,(p138,0.033898305084745756)
u64,(p151,0.033898305084745756)
